Close,High,Low,Open,Volume,Symbol,Company_Name,Date
15.4260,15.7375,15.3480,15.6290,55664000,AMZN,Amazon.com Inc.,2/1/2015
15.1095,15.4190,15.0425,15.3505,55484000,AMZN,Amazon.com Inc.,5/1/2015
14.7645,15.1500,14.6190,15.1120,70380000,AMZN,Amazon.com Inc.,6/1/2015
14.9210,15.0640,14.7665,14.8750,52806000,AMZN,Amazon.com Inc.,7/1/2015
15.0230,15.1570,14.8055,15.0160,61768000,AMZN,Amazon.com Inc.,8/1/2015
14.8465,15.1435,14.8340,15.0740,51848000,AMZN,Amazon.com Inc.,9/1/2015
14.5705,14.9255,14.4640,14.8780,68428000,AMZN,Amazon.com Inc.,12/1/2015
14.7370,15.0750,14.6615,14.8740,82728000,AMZN,Amazon.com Inc.,13/1/2015
14.6635,14.7955,14.3250,14.5965,110774000,AMZN,Amazon.com Inc.,14/1/2015
14.3475,14.8000,14.3410,14.7000,88384000,AMZN,Amazon.com Inc.,15/1/2015
14.5370,14.5395,14.2625,14.3140,69564000,AMZN,Amazon.com Inc.,16/1/2015
14.4720,14.6680,14.3195,14.6295,61502000,AMZN,Amazon.com Inc.,20/1/2015
14.8625,15.3000,14.3630,14.4820,201302000,AMZN,Amazon.com Inc.,21/1/2015
15.5160,15.6125,15.0000,15.0000,107252000,AMZN,Amazon.com Inc.,22/1/2015
15.6195,15.8465,15.3860,15.4040,89928000,AMZN,Amazon.com Inc.,23/1/2015
15.4830,15.6500,15.3760,15.5910,63394000,AMZN,Amazon.com Inc.,26/1/2015
15.3375,15.5120,15.1315,15.3150,58406000,AMZN,Amazon.com Inc.,27/1/2015
15.1955,15.5755,15.1900,15.4905,61276000,AMZN,Amazon.com Inc.,28/1/2015
15.5890,15.6400,14.9665,15.2365,173132000,AMZN,Amazon.com Inc.,29/1/2015
17.7265,17.9750,17.0370,17.3160,477122000,AMZN,Amazon.com Inc.,30/1/2015
18.2235,18.2500,17.5005,17.5025,204638000,AMZN,Amazon.com Inc.,2/2/2015
18.1775,18.3910,18.0105,18.0145,124252000,AMZN,Amazon.com Inc.,3/2/2015
18.2375,18.3750,17.9115,17.9190,83398000,AMZN,Amazon.com Inc.,4/2/2015
18.6945,18.9400,18.2950,18.3000,144952000,AMZN,Amazon.com Inc.,5/2/2015
18.7140,18.7995,18.5505,18.7435,77848000,AMZN,Amazon.com Inc.,6/2/2015
18.5280,18.7205,18.3600,18.5500,54492000,AMZN,Amazon.com Inc.,9/2/2015
18.6500,18.7150,18.4255,18.5595,45744000,AMZN,Amazon.com Inc.,10/2/2015
18.7570,18.8550,18.5550,18.5615,55730000,AMZN,Amazon.com Inc.,11/2/2015
18.8585,18.9255,18.6575,18.7550,55822000,AMZN,Amazon.com Inc.,12/2/2015
19.0915,19.1500,18.8505,18.9205,69502000,AMZN,Amazon.com Inc.,13/2/2015
18.7715,18.9995,18.6335,18.8860,73464000,AMZN,Amazon.com Inc.,17/2/2015
18.6685,18.8370,18.6425,18.6890,53012000,AMZN,Amazon.com Inc.,18/2/2015
18.9500,19.0940,18.6715,18.6745,59076000,AMZN,Amazon.com Inc.,19/2/2015
19.1830,19.1850,18.7920,18.9310,65160000,AMZN,Amazon.com Inc.,20/2/2015
19.0070,19.2270,18.9000,19.1720,43540000,AMZN,Amazon.com Inc.,23/2/2015
18.9295,19.0240,18.8080,18.9325,38416000,AMZN,Amazon.com Inc.,24/2/2015
19.2685,19.3925,18.8270,18.8635,63490000,AMZN,Amazon.com Inc.,25/2/2015
19.2400,19.4685,19.1640,19.2035,53742000,AMZN,Amazon.com Inc.,26/2/2015
19.0080,19.2995,18.9895,19.2000,50646000,AMZN,Amazon.com Inc.,27/2/2015
19.2830,19.2950,18.9740,19.0425,42784000,AMZN,Amazon.com Inc.,2/3/2015
19.2305,19.3050,19.0800,19.1975,38930000,AMZN,Amazon.com Inc.,3/3/2015
19.1360,19.3950,19.1095,19.2855,45182000,AMZN,Amazon.com Inc.,4/3/2015
