Close,High,Low,Open,Volume,Symbol,Company_Name,Date
24.2886,24.7573,23.8487,24.7462,212818400,AAPL,Apple Inc.,2/1/2015
23.6043,24.1375,23.4177,24.0575,257142000,AAPL,Apple Inc.,5/1/2015
23.6066,23.8665,23.2444,23.6688,263188400,AAPL,Apple Inc.,6/1/2015
23.9376,24.0375,23.7043,23.8154,160423600,AAPL,Apple Inc.,7/1/2015
24.8573,24.9151,24.1486,24.2664,237458000,AAPL,Apple Inc.,8/1/2015
24.884,25.1594,24.4841,25.0306,214798000,AAPL,Apple Inc.,9/1/2015
24.2708,25.0217,24.1708,25.015,198603200,AAPL,Apple Inc.,12/1/2015
24.4863,25.0595,24.1953,24.7551,268367600,AAPL,Apple Inc.,13/1/2015
24.393,24.5463,24.1042,24.2242,195826400,AAPL,Apple Inc.,14/1/2015
23.731,24.4508,23.6954,24.4374,240056000,AAPL,Apple Inc.,15/1/2015
23.5466,23.8998,23.3711,23.7776,314053200,AAPL,Apple Inc.,16/1/2015
24.1531,24.2086,23.6599,23.9576,199599600,AAPL,Apple Inc.,20/1/2015
24.3375,24.6729,24.0531,24.2042,194303600,AAPL,Apple Inc.,21/1/2015
24.9706,24.9862,24.3752,24.4952,215185600,AAPL,Apple Inc.,22/1/2015
25.0995,25.2705,24.7773,24.9484,185859200,AAPL,Apple Inc.,23/1/2015
25.1261,25.406,25.0595,25.2683,222460000,AAPL,Apple Inc.,26/1/2015
24.2464,24.9884,24.2219,24.975,382274800,AAPL,Apple Inc.,27/1/2015
25.6171,26.2414,25.6171,26.1325,585908400,AAPL,Apple Inc.,28/1/2015
26.4146,26.4791,25.6726,25.8415,337745600,AAPL,Apple Inc.,29/1/2015
26.0281,26.659,25.9592,26.3036,334982000,AAPL,Apple Inc.,30/1/2015
26.3547,26.4746,25.7882,26.2258,250956400,AAPL,Apple Inc.,2/2/2015
26.3591,26.4568,26.1281,26.3258,207662800,AAPL,Apple Inc.,3/2/2015
26.5613,26.7723,26.2836,26.3258,280598800,AAPL,Apple Inc.,4/2/2015
26.7508,26.8155,26.5969,26.7687,168984800,AAPL,Apple Inc.,5/2/2015
26.5256,26.82,26.4185,26.7687,174826400,AAPL,Apple Inc.,6/2/2015
26.7018,26.7285,26.4141,26.4408,155559200,AAPL,Apple Inc.,9/2/2015
27.2147,27.2437,26.7999,26.8021,248034000,AAPL,Apple Inc.,10/2/2015
27.8526,27.8616,27.3218,27.382,294247200,AAPL,Apple Inc.,11/2/2015
28.205,28.4325,28.0065,28.1158,297898000,AAPL,Apple Inc.,12/2/2015
28.3433,28.3879,28.0244,28.3879,217088800,AAPL,Apple Inc.,13/2/2015
28.5106,28.7448,28.3076,28.4348,252609600,AAPL,Apple Inc.,17/2/2015
28.7091,28.7225,28.4258,28.466,179566800,AAPL,Apple Inc.,18/2/2015
